node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
N2085|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,1.4384349827387803e-05,0.0,0.0,1.43843498273878e-05,0.019661551290380695
N2086|B43,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00023014959723820485,0.0,0.0,0.0
N2086|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,0.00023014959723820485,0.0,0.0,0.0002301495972382048,0.019661551290380695
N2087|B4,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,7.479861910241657e-05,0.0,0.0,0.0
N2087|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,7.479861910241657e-05,0.0,0.0,7.479861910241657e-05,0.019661551290380695
N2088|B10,0.018518518518518517,0.011764705882352941,0.004769475357710652,0.03386479591836735,0.03057449512681063,0.0056179775280898875,0.00510204081632653,0.004769475357710652,0.021424927113702627,0.02811773011937776,0.00015253164556962027,0.00023014959723820485,0.004769475357710652,0.0001765949389809123,0.02787143648438933
N2088|B1,0.018518518518518517,0.0,0.0,0.03344671201814058,0.04651262030411384,0.0056179775280898875,0.0,0.0,0.021160421840693947,0.04399399416624823,0.00023014959723820485,0.0,0.0,0.00023410949625990912,0.04344877834837489
N2089|B1,0.037037037037037035,0.03529411764705882,0.007949125596184421,0.037627551020408156,0.04746167756982674,0.011235955056179775,0.030612244897959183,0.007949125596184421,0.023805474570780694,0.03353203158958232,0.0008147281357882624,0.0004985857945914845,0.007949125596184421,0.00042128665591112255,0.04798712889821734
N2089|B76,0.018518518518518517,0.011764705882352941,0.0,0.02508503401360544,0.020504931036307406,0.0056179775280898875,0.00510204081632653,0.0,0.01587031638052046,0.008131424141756844,0.0002566494821634062,0.0006904487917146145,0.0,0.0002525392990417665,0.03124138957146531
N2090|B11,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,5.0632911392405066e-05,0.0,0.0,0.0
