source,target,amount_tx_idr,trx,type
N5100 (B5),N182 (B1),800237670.0,1,INCOMING
N182 (B38),N182 (B1),3200000000.0,1,INCOMING
N5101 (B5),N182 (B1),2171180702.0,2,INCOMING
N5102 (B3),N182 (B1),324000000.0,1,INCOMING
N5103 (B3),N182 (B1),1032768000.0,1,INCOMING
N5104 (B3),N182 (B1),389325040.0,2,INCOMING
N5105 (B5),N182 (B1),164160000.0,1,INCOMING
N182 (B14),N182 (B1),5000000000.0,2,INCOMING
N5106 (B17),N182 (B1),1875960000.0,1,INCOMING
N5107 (B3),N182 (B1),1392545455.0,1,INCOMING
N5108 (B39),N182 (B1),1550880000.0,2,INCOMING
N182 (B12),N182 (B1),580000000.0,1,INCOMING
N1909 (B4),N183 (B1),35500000000.0,6,INCOMING
N1909 (B4),N183 (B1),35500000000.0,6,INCOMING
N5109 (B40),N184 (B1),255000000.0,1,INCOMING
N5110 (B41),N185 (B1),255000000.0,1,INCOMING
N5111 (B17),N184 (B1),133000000.0,1,INCOMING
N5110 (B4),N184 (B1),239000000.0,1,INCOMING
N5112 (B7),N186 (B1),5423446600.0,3,INCOMING
N5113 (B4),N186 (B1),1053249862.0,1,INCOMING
N5114 (B4),N186 (B1),1309711200.0,1,INCOMING
N5115 (B4),N187 (B1),400000000.0,1,INCOMING
N187 (B30),N187 (B1),7000000000.0,1,INCOMING
N5116 (B3),N188 (B1),1000000000.0,2,INCOMING
N5117 (B12),N189 (B1),787550000.0,1,INCOMING
N190 (B11),N190 (B1),1000000000.0,1,INCOMING
N5118 (B17),N191 (B1),966000000.0,3,INCOMING
N5118 (B17),N191 (B1),966000000.0,3,INCOMING
N5119 (B42),N192 (B1),1001998356.0,1,INCOMING
N5120 (B5),N193 (B1),200000000.0,1,INCOMING
N195 (B43),N194 (B1),2000000000.0,1,INCOMING
N195 (B43),N195 (B1),800000000.0,1,INCOMING
N5121 (B44),N196 (B1),500000000.0,1,INCOMING
N5122 (B7),N196 (B1),2000000000.0,1,INCOMING
N197 (B7),N197 (B1),4200000000.0,1,INCOMING
N5123 (B4),N198 (B1),245000000.0,1,INCOMING
N5124 (B3),N199 (B1),250000000.0,1,INCOMING
N5125 (B3),N200 (B1),117957000.0,1,INCOMING
N5126 (B45),N201 (B1),1000000000.0,1,INCOMING
N202 (B4),N202 (B1),1350000000.0,2,INCOMING
N5127 (B4),N203 (B1),4877914656.0,3,INCOMING
N203 (B4),N203 (B1),450000000.0,3,INCOMING
N5128 (B37),N204 (B1),33595000.0,10,INCOMING
N5129 (B11),N204 (B1),7999970000.0,1,INCOMING
N205 (B4),N205 (B1),2414885500.0,1,INCOMING
N5130 (B20),N206 (B1),1850000000.0,1,INCOMING
N207 (B43),N207 (B1),370000000.0,1,INCOMING
N208 (B4),N208 (B1),3286000000.0,1,INCOMING
N5131 (B3),N209 (B1),328500000.0,1,INCOMING
N5132 (B3),N210 (B1),4373119171.0,4,INCOMING
N5133 (B5),N210 (B1),110000000.0,1,INCOMING
N3374 (B4),N211 (B1),1700000000.0,1,INCOMING
N5134 (B4),N211 (B1),675000000.0,1,INCOMING
N212 (B4),N212 (B1),168000000.0,1,INCOMING
N5135 (B4),N213 (B1),200000000.0,1,INCOMING
N5136 (B7),N214 (B1),200000000.0,1,INCOMING
N1622 (B7),N214 (B1),560000000.0,2,INCOMING
N1622 (B8),N214 (B1),160000000.0,1,INCOMING
N5137 (B4),N215 (B1),1100000000.0,1,INCOMING
N215 (B4),N215 (B1),600000000.0,1,INCOMING
N216 (B20),N216 (B1),4340000000.0,1,INCOMING
N5138 (B3),N217 (B1),14632730500.0,5,INCOMING
N5139 (B3),N217 (B1),210000000.0,1,INCOMING
N5140 (B3),N217 (B1),210000000.0,1,INCOMING
N5141 (B4),N217 (B1),16183967400.0,3,INCOMING
N5142 (B4),N217 (B1),9130000000.0,3,INCOMING
N217 (B12),N217 (B1),2850000000.0,2,INCOMING
N218 (B3),N218 (B1),670000000.0,1,INCOMING
N219 (B14),N219 (B1),1500000000.0,1,INCOMING
N220 (B3),N220 (B1),225000000.0,1,INCOMING
N5143 (B5),N221 (B1),1309762400.0,1,INCOMING
N5144 (B3),N221 (B1),2500000000.0,1,INCOMING
N5145 (B14),N222 (B1),920770410.0,1,INCOMING
N223 (B38),N223 (B1),1000000000.0,1,INCOMING
N5146 (B17),N224 (B1),9550000000.0,4,INCOMING
N5146 (B17),N224 (B1),9550000000.0,4,INCOMING
N5147 (B3),N225 (B1),550000000.0,1,INCOMING
N5148 (B3),N225 (B1),850000000.0,2,INCOMING
N226 (B4),N226 (B1),164000000.0,1,INCOMING
N5149 (B17),N227 (B1),835000000.0,4,INCOMING
N228 (B4),N228 (B1),1600000000.0,1,INCOMING
N5150 (B43),N229 (B1),1114134528.0,3,INCOMING
N2289 (B14),N229 (B1),492954097.0,1,INCOMING
N230 (B4),N230 (B1),985750000.0,1,INCOMING
N5151 (B20),N231 (B1),500000000.0,1,INCOMING
N5152 (B5),N232 (B1),650000000.0,1,INCOMING
N5153 (B4),N233 (B1),850000000.0,1,INCOMING
N5154 (B10),N234 (B1),1000000000.0,1,INCOMING
N3663 (B30),N235 (B1),1786203552.0,2,INCOMING
N5155 (B3),N235 (B1),232600000.0,2,INCOMING
N236 (B4),N236 (B1),250000000.0,1,INCOMING
