,node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
8008,N7669|B14,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,104173600.0,0.0,0.0,8313.934557063048,9.0826772344511e-05
8009,N3453|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,713778772.0,0.0,0.0,4.8939194727451286e-05
8010,N7670|B12,2,0,0.0,0.0001596169193934557,0.00013335658015588037,2,0,0.0,0.0001596169193934557,0.00013308387458824152,835692030.0,0.0,0.0,33241.240713528256,0.00013271434996157074
8011,N3454|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,623000000000.0,0.0,0.0,4.8939194727451286e-05
8012,N2351|B28,3,0,0.0,0.00025538707102952914,0.00019018096365714616,6,0,0.0,0.0004890390721842047,0.0001793033506978094,1322000000000.0,0.0,0.0,41224298.60511062,0.00018754388629839313
8013,N1694|B14,1,0,0.0,0.00010641127959563712,0.00010917143464272492,1,0,0.0,0.00010641127959563712,0.00010894714156421621,10000000000.0,0.0,0.0,65827.53446123545,9.800691984845119e-05
8014,N7671|B106,1,0,0.0,0.00022169016582424407,7.235329855807308e-05,1,0,0.0,0.00022169016582424407,6.757793866974113e-05,258828672.0,0.0,0.0,86906.85168263699,5.238290752878966e-05
8015,N310|B106,1,0,0.0,0.00022169016582424407,7.235329855807308e-05,3,0,0.0,0.0003520961457208582,0.00010455351955739544,7529457778.0,0.0,0.0,463538.4465444843,0.00014911855251218458
8016,N7672|B4,1,0,0.0,0.00022169016582424407,7.235329855807308e-05,1,0,0.0,0.00022169016582424407,6.757793866974113e-05,401000000.0,0.0,0.0,123856.35953535158,5.4274495575947266e-05
8017,N7673|B43,1,0,0.0,0.00022169016582424407,7.235329855807308e-05,1,0,0.0,0.00022169016582424407,6.757793866974113e-05,282206357.0,0.0,0.0,93418.48972567706,5.2693947385688344e-05
8018,N7674|B74,2,0,0.0,0.0002873104549082203,9.339223346358842e-05,2,0,0.0,0.0002873104549082203,8.157689306346238e-05,3530278679.0,0.0,0.0,434420.6358159398,0.00010874051945730542
8019,N7674|B106,2,0,0.0,0.0002873104549082203,9.339223346358842e-05,3,0,0.0,0.0003024320577981266,9.557584745718364e-05,1887871321.0,0.0,0.0,312522.5187487487,8.01364262504247e-05
8020,N7675|B11,1,0,0.0,0.00022169016582424407,7.235329855807308e-05,1,0,0.0,0.00022169016582424407,6.757793866974113e-05,1500000000.0,0.0,0.0,286110.0222398107,6.889667919813449e-05
8021,N7676|B4,1,0,0.0,0.00022169016582424407,7.235329855807308e-05,1,0,0.0,0.00022169016582424407,6.757793866974113e-05,200000000.0,0.0,0.0,69664.60265251668,5.160019265687572e-05
8022,N1297|B4,1,0,0.0,0.0002052217535058716,9.550403329240816e-05,11,0,0.0,0.0003362143621266408,0.00011975288435815039,3013000000.0,0.0,0.0,54426.41309708008,0.00011119226750335801
8023,N7677|B30,1,0,0.0,0.0002052217535058716,9.550403329240816e-05,7,0,0.0,0.00032438277167057126,9.405734394642804e-05,2002000000.0,0.0,0.0,53408.96641819278,9.030349997051976e-05
8024,N1297|B105,1,0,0.0,0.0002052217535058716,9.550403329240816e-05,1,0,0.0,0.0002052217535058716,5.551403332884456e-05,590000000.0,0.0,0.0,47125.636866532055,6.112947449438954e-05
8025,N3455|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,169000000.0,0.0,0.0,4.8939194727451286e-05
8026,N7678|B110,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,169000000.0,0.0,0.0,13487.629688747005,9.0826772344511e-05
8027,N1099|B3,1,0,0.0,0.0003017757382282522,8.557749375058722e-05,1,0,0.0,0.00039631287099743104,6.0405805523914093e-05,1000000000.0,0.0,0.0,459749.54435877013,5.300339785590389e-05
