entity,in_degree,out_degree,total_degree
N5191 (B5),0.0,2.0,2.0
N276 (B12),0.0,1.0,1.0
N5192 (B49),0.0,2.0,2.0
N279 (B7),0.0,1.0,1.0
N5193 (B4),0.0,1.0,1.0
N5194 (B17),0.0,2.0,2.0
N5195 (B50),0.0,9.0,9.0
N5196 (B49),0.0,1.0,1.0
N281 (B3),0.0,1.0,1.0
N5197 (B17),0.0,1.0,1.0
N5198 (B4),0.0,1.0,1.0
N281 (B5),0.0,1.0,1.0
N5199 (B17),0.0,1.0,1.0
N5200 (B49),0.0,1.0,1.0
N281 (B11),1.0,1.0,2.0
N5201 (B4),0.0,1.0,1.0
N5202 (B4),0.0,1.0,1.0
N5203 (B3),0.0,1.0,1.0
N5204 (B7),0.0,1.0,1.0
N284 (B7),0.0,1.0,1.0
N5205 (B5),0.0,1.0,1.0
N5206 (B51),0.0,2.0,2.0
N5207 (B20),0.0,1.0,1.0
N5208 (B18),0.0,3.0,3.0
N5209 (B3),0.0,1.0,1.0
N291 (B28),0.0,1.0,1.0
N5210 (B52),0.0,1.0,1.0
N1839 (B4),0.0,2.0,2.0
N5211 (B53),0.0,2.0,2.0
N295 (B3),0.0,1.0,1.0
N296 (B3),0.0,1.0,1.0
N297 (B6),0.0,1.0,1.0
N5212 (B3),0.0,1.0,1.0
N5213 (B3),0.0,1.0,1.0
N300 (B6),0.0,1.0,1.0
N302 (B4),0.0,1.0,1.0
N5214 (B7),0.0,1.0,1.0
N5215 (B54),0.0,1.0,1.0
N5216 (B55),0.0,1.0,1.0
N5217 (B16),0.0,1.0,1.0
N5218 (B5),0.0,1.0,1.0
N5219 (B22),0.0,1.0,1.0
N5220 (B4),0.0,1.0,1.0
N5221 (B3),0.0,1.0,1.0
N5222 (B28),0.0,2.0,2.0
N5223 (B28),0.0,3.0,3.0
N5224 (B28),0.0,2.0,2.0
N310 (B5),0.0,1.0,1.0
N5225 (B4),0.0,1.0,1.0
N5226 (B4),0.0,1.0,1.0
N310 (B4),0.0,1.0,1.0
N5227 (B4),0.0,1.0,1.0
N5228 (B6),0.0,2.0,2.0
N5229 (B3),0.0,3.0,3.0
N5230 (B3),0.0,1.0,1.0
N5231 (B4),0.0,1.0,1.0
N316 (B4),0.0,2.0,2.0
N316 (B11),0.0,1.0,1.0
N317 (B11),0.0,2.0,2.0
N5232 (B3),0.0,1.0,1.0
N319 (B3),0.0,1.0,1.0
N5233 (B4),0.0,3.0,3.0
N321 (B51),0.0,1.0,1.0
N5234 (B18),0.0,1.0,1.0
N323 (B4),0.0,1.0,1.0
N324 (B30),0.0,1.0,1.0
N5235 (B17),0.0,1.0,1.0
N5236 (B4),0.0,2.0,2.0
N5237 (B52),0.0,2.0,2.0
N5238 (B56),0.0,3.0,3.0
N5239 (B57),4.0,2.0,6.0
N5240 (B58),0.0,2.0,2.0
